year,Nature of crashes,total
2020,Fatal,3269
2020,Serious,5803
2020,Minor,3177
2019,Fatal,3407
2019,Serious,5992
2019,Minor,3459
2018,Fatal,3194
2018,Serious,6085
2018,Minor,3526
2017,Fatal,3051
2017,Serious,6530
2017,Minor,3663
2016,Fatal,2999
2016,Serious,7203
2016,Minor,4355
2015,Fatal,2749
2015,Serious,9422
2015,Minor,6324
2014,Fatal,2518
2014,Serious,9259
2014,Minor,6909
2013,Fatal,2616
2013,Serious,8874
2013,Minor,6878
2012,Fatal,2611
2012,Serious,9030
2012,Minor,8220
