year,victims,total
2020,killed,3663
2019,killed,3880
2018,killed,3689
2017,killed,3500
2016,killed,3503
2015,killed,3224
2014,killed,2845
2013,killed,2937
2012,killed,3124
2020,seriously injured,8370
2019,seriously injured,9635
2018,seriously injured,9541
2017,seriously injured,10420
2016,seriously injured,10981
2015,seriously injured,13736
2014,seriously injured,13516
2013,seriously injured,12754
2012,seriously injured,13137
2020,slightly injured,979
2019,slightly injured,1175
2018,slightly injured,1188
2017,slightly injured,934
2016,slightly injured,1268
2015,slightly injured,1466
2014,slightly injured,1487
2013,slightly injured,1592
2012,slightly injured,1755
