year,gender,age group,total
2020,Male,Below 18,382
2020,Female,Below 18,246
2019,Male,Below 18,354
2019,Female,Below 18,253
2018,Male ,Below 18,422
2018,Female,Below 18,248
2017,Male,Below 18,386
2017,Female,Below 18,243
2016,Male ,Below 18,445
2016,Female,Below 18,281
2015,Male,Below 18,359
2015,Female,Below 18,241
2014,Male,Below 18,234
2014,Female,Below 18,177
2013,Male,Below 18,345
2013,Female,Below 18,243
2012,Male,Below 18,411
2012,Female,Below 18,270
2020,Male,18-24,470
2020,Female,18-24,66
2019,Male,18-24,479
2019,Female,18-24,91
2018,Male ,18-24,429
2018,Female,18-24,83
2017,Male,18-24,485
2017,Female,18-24,81
2016,Male ,18-24,437
2016,Female,18-24,74
2015,Male,18-24,376
2015,Female,18-24,87
2014,Male,18-24,328
2014,Female,18-24,62
2013,Male,18-24,320
2013,Female,18-24,57
2012,Male,18-24,347
2012,Female,18-24,71
2020,Male,25-34,803
2020,Female,25-34,118
2019,Male,25-34,834
2019,Female,25-34,159
2018,Male ,25-34,880
2018,Female,25-34,150
2017,Male,25-34,851
2017,Female,25-34,116
2016,Male ,25-34,854
2016,Female,25-34,145
2015,Male,25-34,736
2015,Female,25-34,111
2014,Male,25-34,700
2014,Female,25-34,128
2013,Male,25-34,720
2013,Female,25-34,126
2012,Male,25-34,708
2012,Female,25-34,132
2020,Male,35-44,570
2020,Female,35-44,94
2019,Male,35-44,572
2019,Female,35-44,123
2018,Male ,35-44,542
2018,Female,35-44,108
2017,Male,35-44,496
2017,Female,35-44,95
2016,Male ,35-44,502
2016,Female,35-44,102
2015,Male,35-44,467
2015,Female,35-44,93
2014,Male,35-44,428
2014,Female,35-44,79
2013,Male,35-44,463
2013,Female,35-44,87
2012,Male,35-44,493
2012,Female,35-44,94
2020,Male,45-54,322
2020,Female,45-54,66
2019,Male,45-54,274
2019,Female,45-54,81
2018,Male ,45-54,263
2018,Female,45-54,72
2017,Male,45-54,253
2017,Female,45-54,45
2016,Male ,45-54,248
2016,Female,45-54,73
2015,Male,45-54,224
2015,Female,45-54,56
2014,Male,45-54,181
2014,Female,45-54,54
2013,Male,45-54,190
2013,Female,45-54,33
2012,Male,45-54,213
2012,Female,45-54,59
2020,Male,55-64,150
2020,Female,55-64,39
2019,Male,55-64,153
2019,Female,55-64,63
2018,Male ,55-64,138
2018,Female,55-64,38
2017,Male,55-64,116
2017,Female,55-64,28
2016,Male ,55-64,131
2016,Female,55-64,40
2015,Male,55-64,124
2015,Female,55-64,35
2014,Male,55-64,98
2014,Female,55-64,39
2013,Male,55-64,88
2013,Female,55-64,20
2012,Male,55-64,84
2012,Female,55-64,27
2020,Male,65-74,63
2020,Female,65-74,33
2019,Male,65-74,89
2019,Female,65-74,56
2018,Male ,65-74,76
2018,Female,65-74,24
2017,Male,65-74,69
2017,Female,65-74,19
2016,Male ,65-74,65
2016,Female,65-74,33
2015,Male,65-74,63
2015,Female,65-74,22
2014,Male,65-74,68
2014,Female,65-74,16
2013,Male,65-74,51
2013,Female,65-74,18
2012,Male,65-74,44
2012,Female,65-74,16
2020,Male,>75,44
2020,Female,>75,22
2019,Male,>75,51
2019,Female,>75,41
2018,Male ,>75,49
2018,Female,>75,22
2017,Male,>75,40
2017,Female,>75,16
2016,Male ,>75,33
2016,Female,>75,14
2015,Male,>75,32
2015,Female,>75,21
2014,Male,>75,82
2014,Female,>75,25
2013,Male,>75,23
2013,Female,>75,8
2012,Male,>75,22
2012,Female,>75,4
2020,Male,Unknown,141
2020,Female,Unknown,34
2019,Male,Unknown,156
2019,Female,Unknown,51
2018,Male ,Unknown,121
2018,Female,Unknown,24
2017,Male,Unknown,136
2017,Female,Unknown,25
2016,Male ,Unknown,23
2016,Female,Unknown,4
2015,Male,Unknown,153
2015,Female,Unknown,24
2014,Male,Unknown,129
2014,Female,Unknown,17
2013,Male,Unknown,120
2013,Female,Unknown,25
2012,Male,Unknown,113
2012,Female,Unknown,16
