year,Road user Category,total
2020,Driver,182
2019,Driver,194
2018,Driver,202
2017,Driver,159
2016,Driver,168
2015,Driver,151
2014,Driver,126
2013,Driver,110
2012,Driver,155
2011,Driver,151
2020,Motor cyclist,1146
2019,Motor cyclist,1064
2018,Motor cyclist,878
2017,Motor cyclist,918
2016,Motor cyclist,791
2015,Motor cyclist,731
2014,Motor cyclist,621
2013,Motor cyclist,641
2012,Motor cyclist,571
2011,Motor cyclist,570
2020,Pedal cyclist,183
2019,Pedal cyclist,136
2018,Pedal cyclist,160
2017,Pedal cyclist,177
2016,Pedal cyclist,203
2015,Pedal cyclist,207
2014,Pedal cyclist,206
2013,Pedal cyclist,224
2012,Pedal cyclist,217
2011,Pedal cyclist,312
2020,Passenger on Motor cycle,409
2019,Passenger on Motor cycle,422
2018,Passenger on Motor cycle,380
2017,Passenger on Motor cycle,364
2016,Passenger on Motor cycle,379
2015,Passenger on Motor cycle,344
2014,Passenger on Motor cycle,274
2013,Passenger on Motor cycle,256
2012,Passenger on Motor cycle,268
2011,Passenger on Motor cycle, -   
2020,Passenger in Light Omnibus,83
2019,Passenger in Light Omnibus,82
2018,Passenger in Light Omnibus,93
2017,Passenger in Light Omnibus,94
2016,Passenger in Light Omnibus,94
2015,Passenger in Light Omnibus,95
2014,Passenger in Light Omnibus,80
2013,Passenger in Light Omnibus,87
2012,Passenger in Light Omnibus,124
2011,Passenger in Light Omnibus, -   
2020,Passenger in Medium Omnibus,10
2019,Passenger in Medium Omnibus,8
2018,Passenger in Medium Omnibus,30
2017,Passenger in Medium Omnibus,22
2016,Passenger in Medium Omnibus,25
2015,Passenger in Medium Omnibus,13
2014,Passenger in Medium Omnibus,13
2013,Passenger in Medium Omnibus,13
2012,Passenger in Medium Omnibus,9
2011,Passenger in Medium Omnibus, -   
2020,Passenger in Heavy Omnibus,12
2019,Passenger in Heavy Omnibus,27
2018,Passenger in Heavy Omnibus,48
2017,Passenger in Heavy Omnibus,10
2016,Passenger in Heavy Omnibus,37
2015,Passenger in Heavy Omnibus,25
2014,Passenger in Heavy Omnibus,20
2013,Passenger in Heavy Omnibus,24
2012,Passenger in Heavy Omnibus,51
2011,Passenger in Heavy Omnibus, -   
2020,Passengers in other vehicles,380
2019,Passengers in other vehicles,462
2018,Passengers in other vehicles,474
2017,Passengers in other vehicles,437
2016,Passengers in other vehicles,422
2015,Passengers in other vehicles,347
2014,Passengers in other vehicles,343
2013,Passengers in other vehicles,401
2012,Passengers in other vehicles,486
2011,Passengers in other vehicles,1006
2020,Pedestrians,1258
2019,Pedestrians,1485
2018,Pedestrians,1424
2017,Pedestrians,1319
2016,Pedestrians,1384
2015,Pedestrians,1311
2014,Pedestrians,1162
2013,Pedestrians,1181
2012,Pedestrians,1243
2011,Pedestrians,1307
