year,Time,Fatal,Serious,Minor
2020,00:00 - 00:59,55,37,43
2020,01:00 - 01:59,54,41,38
2020,02:00 - 02:59,38,43,28
2020,03:00 - 03:59,33,25,44
2020,04:00 - 04:59,38,45,42
2020,05:00 - 05:59,52,72,71
2020,06:00 - 06:59,72,111,89
2020,07:00 - 07:59,99,201,131
2020,08:00 - 08:59,100,274,135
2020,09:00 - 09:59,120,291,171
2020,10:00 - 10:59,134,338,172
2020,11:00 - 11:59,154,390,174
2020,12:00 - 12:59,158,395,174
2020,13:00 - 13:59,180,362,190
2020,14:00 - 14:59,150,368,207
2020,15:00 - 15:59,205,390,208
2020,16:00 - 16:59,226,417,232
2020,17:00 - 17:59,252,523,249
2020,18:00 - 18:59,240,464,201
2020,19:00 - 19:59,295,369,185
2020,20:00 - 20:59,270,278,166
2020,21:00 - 21:59,163,193,106
2020,22:00 - 22:59,108,116,69
2020,23:00 - 23:59,73,60,52
2019,00:00 - 00:59,82,87,69
2019,01:00 - 01:59,90,101,64
2019,02:00 - 02:59,69,104,77
2019,03:00 - 03:59,82,89,71
2019,04:00 - 04:59,80,91,69
2019,05:00 - 05:59,82,114,110
2019,06:00 - 06:59,136,180,124
2019,07:00 - 07:59,114,224,135
2019,08:00 - 08:59,106,285,157
2019,09:00 - 09:59,103,275,170
2019,10:00 - 10:59,127,293,222
2019,11:00 - 11:59,138,329,178
2019,12:00 - 12:59,145,316,177
2019,13:00 - 13:59,148,340,196
2019,14:00 - 14:59,144,306,152
2019,15:00 - 15:59,166,283,179
2019,16:00 - 16:59,184,340,215
2019,17:00 - 17:59,189,438,208
2019,18:00 - 18:59,209,415,186
2019,19:00 - 19:59,296,433,205
2019,20:00 - 20:59,285,391,162
2019,21:00 - 21:59,188,246,154
2019,22:00 - 22:59,111,183,102
2019,23:00 - 23:59,133,129,77
2018,00:00 - 00:59,78,107,60
2018,01:00 - 01:59,79,92,62
2018,02:00 - 02:59,66,103,63
2018,03:00 - 03:59,61,84,63
2018,04:00 - 04:59,62,86,58
2018,05:00 - 05:59,86,140,97
2018,06:00 - 06:59,84,196,114
2018,07:00 - 07:59,105,284,143
2018,08:00 - 08:59,76,279,170
2018,09:00 - 09:59,103,281,164
2018,10:00 - 10:59,111,320,181
2018,11:00 - 11:59,124,346,221
2018,12:00 - 12:59,148,46,214
2018,13:00 - 13:59,140,372,181
2018,14:00 - 14:59,136,341,176
2018,15:00 - 15:59,148,326,214
2018,16:00 - 16:59,188,410,223
2018,17:00 - 17:59,205,462,262
2018,18:00 - 18:59,225,395,181
2018,19:00 - 19:59,299,450,190
2018,20:00 - 20:59,257,403,173
2018,21:00 - 21:59,208,246,146
2018,22:00 - 22:59,111,175,86
2018,23:00 - 23:59,94,141,84
2017,00:00 - 00:59,77,108,68
2017,01:00 - 01:59,75,106,52
2017,02:00 - 02:59,62,92,73
2017,03:00 - 03:59,55,89,78
2017,04:00 - 04:59,41,95,66
2017,05:00 - 05:59,70,91,31
2017,06:00 - 06:59,79,194,119
2017,07:00 - 07:59,106,244,149
2017,08:00 - 08:59,90,281,175
2017,09:00 - 09:59,98,319,166
2017,10:00 - 10:59,112,333,215
2017,11:00 - 11:59,127,307,223
2017,12:00 - 12:59,151,340,198
2017,13:00 - 13:59,140,351,217
2017,14:00 - 14:59,133,365,191
2017,15:00 - 15:59,135,357,231
2017,16:00 - 16:59,171,412,224
2017,17:00 - 17:59,228,507,253
2017,18:00 - 18:59,189,468,214
2017,19:00 - 19:59,278,461,182
2017,20:00 - 20:59,252,409,217
2017,21:00 - 21:59,168,257,145
